DATE,FII_Net_Purchase_Sales,DII_Net_Purchase_Sales,Total_Net
15 Jun 2026,200,"3,189.3",3389.3
12 Jun 2026,"-1,082.2","5,341.3",4259.1
11 Jun 2026,"-1,987.1","4,224.5",2237.4
10 Jun 2026,"-2,125","3,124",999.0
9 Jun 2026,"-4,566","6,159.5",1593.5
8 Jun 2026,"-5,555.7","5,165.2",-390.5
5 Jun 2026,"-8,776.2","9,133.6",357.39999999999964
4 Jun 2026,"-4,447.1","4,360.1",-87.0
3 Jun 2026,"-5,616.6","5,740.9",124.29999999999927
2 Jun 2026,"-8,362.9","9,589.3",1226.3999999999996
1 Jun 2026,"-3,911.7","5,109.1",1197.4000000000005
29 May 2026,"-21,105.9","16,764.1",-4341.800000000003
27 May 2026,"-1,042.7","3,821",2778.3
26 May 2026,"-2,407.9","1,361.4",-1046.5
25 May 2026,821.8,"3,856.9",4678.7
22 May 2026,"-4,440.5","6,003.5",1563.0
21 May 2026,"-1,891.2","2,492.4",601.2
20 May 2026,"-1,597.4","1,968.4",371.0
19 May 2026,"-2,457.5","3,801.7",1344.1999999999998
18 May 2026,"2,813.7","2,682.1",5495.799999999999
15 May 2026,"1,329.2","-1,958.8",-629.5999999999999
14 May 2026,187.5,684.3,871.8
13 May 2026,"-4,703.2","5,869",1165.8000000000002
12 May 2026,"-1,959.4","7,990.3",6030.9
11 May 2026,"-8,437.6","5,939.6",-2498.0
8 May 2026,"-4,110.6","6,748.1",2637.5
7 May 2026,-340.9,441.1,100.20000000000005
6 May 2026,"-5,834.9","6,836.9",1002.0
5 May 2026,"-3,621.6","2,602.6",-1019.0
4 May 2026,"2,835.6","4,764.2",7599.799999999999
30-Apr-26,"-8,047.90","3,487.10",-4560.799999999999
29-Apr-26,"-2,468.40","2,262.20",-206.20000000000027
28-Apr-26,"-2,103.70","1,712",-391.6999999999998
27-Apr-26,"-1,151.50","4,123.90",2972.3999999999996
24-Apr-26,"-8,827.90","4,700.70",-4127.2
23-Apr-26,"-3,254.70",941.4,-2313.2999999999997
22-Apr-26,"-2,078.40","-1,048.20",-3126.6000000000004
21-Apr-26,"-1,919","2,221.30",302.3000000000002
20-Apr-26,"-1,059.90","2,966.90",1907.0
17-Apr-26,683.2,"-4,721.50",-4038.3
16-Apr-26,382.4,"-3,427.80",-3045.4
15-Apr-26,666.2,-569,97.20000000000005
13-Apr-26,"-1,983.20","2,432.30",449.10000000000014
10-Apr-26,672.1,410,1082.1
09-Apr-26,"-1,711.20",955.9,-755.3000000000001
08-Apr-26,"-2,812","4,168.20",1356.1999999999998
07-Apr-26,"-8,692.10","7,979.50",-712.6000000000004
06-Apr-26,"-8,167.20","8,088.70",-78.5
02-Apr-26,"-9,931.10","7,208.40",-2722.7000000000007
